sdfgdsg,,,,,,,,,,,,,,
 System,Band,Test Item,Ch,Cell Power,Lower,Upper,Unit,Result,Judgement,,,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 7.5MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-32.2,dB,-41.94,PASS,Margin(-17.36),,,,
 LTE-FDD,5,6.6.2.3_3 -UTRA @ 12.5MHZ;10MHZ;64QAM-FRB,20525,-57.2,None,-35.2,dB,-47.24,PASS,Margin(-23.39),,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-PRB@0,20600,-57.2,None,None,dB,25.05,PASS,Margin(-13.24),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-29.2,dB,-45.12,PASS,Margin(-32.86),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-29.2,dB,-57.05,PASS,Margin(-27.00),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-35.2,dB,-58.66,PASS,Margin(-24.23),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-32.2,dB,-45.75,PASS,Margin(-13.59),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-32.2,dB,-59.35,PASS,,,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-PRB@0,20600,-57.2,None,-35.2,dB,-62.49,PASS,Margin(-31.90),,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-PRB@Max,20600,-57.2,None,None,dB,24.91,PASS,Margin(-25.83),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @-10MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-29.2,dB,-53.7,PASS,Margin(-23.87),,,,
 LTE-FDD,5,6.6.2.3-EUTRA @ 10MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-29.2,dB,-43.02,PASS,Margin(-13.27),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-12.5MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-35.2,dB,-58.06,PASS,Margin(-8.19),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @-7.5MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-32.2,dB,-56.65,PASS,Margin(-12.91),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 7.5MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-32.2,dB,-43.37,PASS,Margin(-22.07),,,,
 LTE-FDD,5,6.6.2.3 -UTRA @ 12.5MHZ;10MHZ;QPSK-PRB@Max,20600,-57.2,None,-35.2,dB,-62.48,PASS,Margin(-13.17),,,,
 LTE-FDD,5,6.6.2.3 Adjacent Channel Power;10MHZ;QPSK-FRB,20600,-57.2,None,None,dB,24.17,PASS,,,,,
